,train_rmse,train_r2,val_rmse,val_r2,feats,patience,num_layers,shape,activ_func,dropout_rate,batch_size,lr
0,14.906968691989036,0.003862635482474,15.973069867946313,-0.1565667183469397,all_feats,50,3,"[128, 32, 8]",relu,0.0,2,0.001
1,14.653093918045752,0.0379326045961326,14.72832417538364,0.0209491718342136,all_feats,50,3,"[128, 32, 8]",relu,0.0,2,0.001
2,20.88184848995826,-0.9553329371646692,16.83241617296265,-0.280357776997747,all_feats,50,3,"[128, 32, 8]",relu,0.25,2,0.001
3,22.35151887312617,-1.2743263524968171,17.614227408004997,-0.423875134381365,all_feats,50,3,"[128, 32, 8]",relu,0.5,2,0.001
4,10.272445334317265,0.5269178179786663,13.825358863938987,0.137748532656524,all_feats,50,3,"[128, 32, 8]",relu,0.0,8,0.001
5,17.963493958921408,-0.4519421638129151,14.258017880885015,0.0722202200390993,all_feats,50,3,"[128, 32, 8]",relu,0.25,8,0.001
6,20.97481250921745,-0.9713836560548312,14.080352627710235,0.1046042181762343,all_feats,50,3,"[128, 32, 8]",relu,0.5,8,0.001
7,5.214984161648991,0.8761765532663581,14.565443484765536,0.0423823213775802,all_feats,50,3,"[128, 32, 8]",relu,0.0,32,0.001
8,17.622908173858583,-0.3912869097357633,13.824846323437516,0.1369031122328827,all_feats,50,3,"[128, 32, 8]",relu,0.25,32,0.001
9,22.7227064483535,-1.3233293723332438,15.059411070773995,-0.0257411475947942,all_feats,50,3,"[128, 32, 8]",relu,0.5,32,0.001
10,5.141416241731525,0.8806053693723997,15.161942978736096,-0.0395265808778971,all_feats,50,3,"[128, 32, 8]",relu,0.0,128,0.001
11,17.835027886207886,-0.4262922759726986,14.113162727558016,0.101575417933994,all_feats,50,3,"[128, 32, 8]",relu,0.25,128,0.001
12,25.352123118297563,-1.8798516007138253,17.26116191503623,-0.3530567555963391,all_feats,50,3,"[128, 32, 8]",relu,0.5,128,0.001
13,14.697569790121292,0.0316444217675167,15.658826727161758,-0.1194037565682803,percent_features,50,3,"[128, 32, 8]",relu,0.0,2,0.001
14,20.25204356428852,-0.8463703210829895,15.277338123522194,-0.0552274679435845,percent_features,50,3,"[128, 32, 8]",relu,0.25,2,0.001
15,18.53090514592402,-0.5420734260516618,14.996606009657372,-0.0159345988167322,percent_features,50,3,"[128, 32, 8]",relu,0.5,2,0.001
16,10.960102366232867,0.4611432070860212,13.489761931241508,0.1775962666551905,percent_features,50,3,"[128, 32, 8]",relu,0.0,8,0.001
17,17.86116424331478,-0.4309450572298419,13.314829735062297,0.1996177829753292,percent_features,50,3,"[128, 32, 8]",relu,0.25,8,0.001
18,20.720155177271245,-0.9236542532363076,13.78400781543217,0.1422320223374606,percent_features,50,3,"[128, 32, 8]",relu,0.5,8,0.001
19,7.591223558173583,0.740836682224842,14.494975027283846,0.0527738525194041,percent_features,50,3,"[128, 32, 8]",relu,0.0,32,0.001
20,17.383868967830477,-0.3555158487387441,13.664680773167415,0.1570062524744896,percent_features,50,3,"[128, 32, 8]",relu,0.25,32,0.001
21,25.118029769204732,-1.8278409818119592,15.78948831547432,-0.1284926687530533,percent_features,50,3,"[128, 32, 8]",relu,0.5,32,0.001
22,6.874412117797883,0.7878227169834171,14.589574096605016,0.0400258569781381,percent_features,50,3,"[128, 32, 8]",relu,0.0,128,0.001
23,18.060909111951712,-0.4627644281268424,13.863157750537392,0.1318491774784383,percent_features,50,3,"[128, 32, 8]",relu,0.25,128,0.001
24,25.267939235519588,-1.861853060300412,17.679201002891404,-0.4239548784167141,percent_features,50,3,"[128, 32, 8]",relu,0.5,128,0.001
25,14.700131783571068,0.0309581515610789,14.761043438932976,0.0128064655927615,high_corrs,50,3,"[128, 32, 8]",relu,0.0,2,0.001
26,20.20881229499661,-0.831144134333109,16.741762489558337,-0.2668747523856737,high_corrs,50,3,"[128, 32, 8]",relu,0.25,2,0.001
27,23.40076333691344,-1.46755994492244,18.446800781121038,-0.5649052478574361,high_corrs,50,3,"[128, 32, 8]",relu,0.5,2,0.001
28,11.454325067411435,0.4120597468841679,12.889167672905192,0.2508883886983628,high_corrs,50,3,"[128, 32, 8]",relu,0.0,8,0.001
29,17.25936761713125,-0.3366353092661056,12.914319098366263,0.2473022547485048,high_corrs,50,3,"[128, 32, 8]",relu,0.25,8,0.001
30,21.411932247597093,-1.0553867961793766,13.71593023875704,0.1505860346038641,high_corrs,50,3,"[128, 32, 8]",relu,0.5,8,0.001
31,8.014992469643667,0.7111885525120709,14.15250980461509,0.0950504098173196,high_corrs,50,3,"[128, 32, 8]",relu,0.0,32,0.001
32,18.043754706763337,-0.460515357964765,13.44358832200076,0.1842240113935944,high_corrs,50,3,"[128, 32, 8]",relu,0.25,32,0.001
33,22.24897828148592,-1.2276776396296696,14.861882161202974,-0.0098759866230065,high_corrs,50,3,"[128, 32, 8]",relu,0.5,32,0.001
34,7.386649022845288,0.7548884423261866,14.679959366623658,0.0281578297804566,high_corrs,50,3,"[128, 32, 8]",relu,0.0,128,0.001
35,18.38652692511652,-0.5149841649101715,13.425241415925507,0.1856529815601032,high_corrs,50,3,"[128, 32, 8]",relu,0.25,128,0.001
36,25.96634124437233,-2.021543011604441,18.13033331386026,-0.4913686192053322,high_corrs,50,3,"[128, 32, 8]",relu,0.5,128,0.001
37,14.778872819414914,0.0203145630848032,15.092591970817008,-0.0292730699800367,grades_only,50,3,"[128, 32, 8]",relu,0.0,2,0.001
38,20.499565231494515,-0.8851547993243072,15.822580909302806,-0.1398992982157746,grades_only,50,3,"[128, 32, 8]",relu,0.25,2,0.001
